content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
sangat mmbtu sya untuk prjlnan sya mksih,sangat mmbtu sya untuk prjlnan sya mksih,sangat mmbtu sya untuk prjlnan sya mksih,sangat mmbtu saya untuk prjlnan saya terima kasih,"['sangat', 'mmbtu', 'saya', 'untuk', 'prjlnan', 'saya', 'terima', 'kasih']","['mmbtu', 'prjlnan', 'terima', 'kasih']",mmbtu prjlnan terima kasih
Kalau mau refund Bagus cara pengembaliannya,Kalau mau refund Bagus cara pengembaliannya,kalau mau refund bagus cara pengembaliannya,kalau mau refund bagus cara pengembaliannya,"['kalau', 'mau', 'refund', 'bagus', 'cara', 'pengembaliannya']","['refund', 'bagus', 'pengembaliannya']",refund bagus kembali
kasih bintang 1 dokumen jelas alamt jelas perusahann jelas di tolak,kasih bintang  dokumen jelas alamt jelas perusahann jelas di tolak,kasih bintang  dokumen jelas alamt jelas perusahann jelas di tolak,kasih bintang dokumen jelas alamat jelas perusahann jelas di tolak,"['kasih', 'bintang', 'dokumen', 'jelas', 'alamat', 'jelas', 'perusahann', 'jelas', 'di', 'tolak']","['kasih', 'bintang', 'dokumen', 'alamat', 'perusahann', 'tolak']",kasih bintang dokumen alamat perusahann tolak
"tiba"" logout dgn sendirinya pas login lagi histori dan paylater hilang dan harus daftar lagi wah kacauu",tiba  logout dgn sendirinya pas login lagi histori dan paylater hilang dan harus daftar lagi wah kacauu,tiba  logout dgn sendirinya pas login lagi histori dan paylater hilang dan harus daftar lagi wah kacauu,tiba logout dengan sendirinya pas login lagi histori dan paylater hilang dan harus daftar lagi wah kacauu,"['tiba', 'logout', 'dengan', 'sendirinya', 'pas', 'login', 'lagi', 'histori', 'dan', 'paylater', 'hilang', 'dan', 'harus', 'daftar', 'lagi', 'wah', 'kacauu']","['logout', 'pas', 'login', 'histori', 'paylater', 'hilang', 'daftar', 'kacauu']",logout pas login histori paylater hilang daftar kacauu
"Saya booking hotel GrandWhizz Nusa dua Bali untuk tgl 21Nov sd 24 nov yad tetapi Voucher nya terhapus, apakah bisa dikirim ulang via email saya?",Saya booking hotel GrandWhizz Nusa dua Bali untuk tgl Nov sd  nov yad tetapi Voucher nya terhapus  apakah bisa dikirim ulang via email saya ,saya booking hotel grandwhizz nusa dua bali untuk tgl nov sd  nov yad tetapi voucher nya terhapus  apakah bisa dikirim ulang via email saya ,saya booking hotel grandwhizz nusa dua bali untuk tanggal nov sd nov yad tetapi voucher nya terhapus apakah bisa dikirim ulang via email saya,"['saya', 'booking', 'hotel', 'grandwhizz', 'nusa', 'dua', 'bali', 'untuk', 'tanggal', 'nov', 'sd', 'nov', 'yad', 'tetapi', 'voucher', 'nya', 'terhapus', 'apakah', 'bisa', 'dikirim', 'ulang', 'via', 'email', 'saya']","['booking', 'hotel', 'grandwhizz', 'nusa', 'bali', 'tanggal', 'nov', 'sd', 'nov', 'yad', 'voucher', 'nya', 'terhapus', 'dikirim', 'ulang', 'via', 'email']",booking hotel grandwhizz nusa bal tanggal nov sd nov yad voucher nya hapus kirim ulang via email
"Pelayanan cepat namun sayang hasil ponit yang kita kumpulkan kenapa harus hangus apabila tida dipergunakan sebagai usula sebaiknya pont jangan dihanguskan karena untuk mengumpulkan point-point tersebut sangatlah sulit dan membutuhkan kesabaran sebaiknya kalo mau diterapkan ponit yang mau hangus digantikan saja ke bentuk hadiah-hadiah (misal gantungan kunci, dan assesoris lainnya yang bermanfaat) terimakasih sebelumnya",Pelayanan cepat namun sayang hasil ponit yang kita kumpulkan kenapa harus hangus apabila tida dipergunakan sebagai usula sebaiknya pont jangan dihanguskan karena untuk mengumpulkan point point tersebut sangatlah sulit dan membutuhkan kesabaran sebaiknya kalo mau diterapkan ponit yang mau hangus digantikan saja ke bentuk hadiah hadiah  misal gantungan kunci  dan assesoris lainnya yang bermanfaat  terimakasih sebelumnya,pelayanan cepat namun sayang hasil ponit yang kita kumpulkan kenapa harus hangus apabila tida dipergunakan sebagai usula sebaiknya pont jangan dihanguskan karena untuk mengumpulkan point point tersebut sangatlah sulit dan membutuhkan kesabaran sebaiknya kalo mau diterapkan ponit yang mau hangus digantikan saja ke bentuk hadiah hadiah  misal gantungan kunci  dan assesoris lainnya yang bermanfaat  terimakasih sebelumnya,pelayanan cepat namun sayang hasil ponit yang kita kumpulkan kenapa harus hangus apabila tida dipergunakan sebagai usula sebaiknya pont jangan dihanguskan karena untuk mengumpulkan point point tersebut sangatlah sulit dan membutuhkan kesabaran sebaiknya kalau mau diterapkan ponit yang mau hangus digantikan saja ke bentuk hadiah hadiah misal gantungan kunci dan assesoris lainnya yang bermanfaat terima kasih sebelumnya,"['pelayanan', 'cepat', 'namun', 'sayang', 'hasil', 'ponit', 'yang', 'kita', 'kumpulkan', 'kenapa', 'harus', 'hangus', 'apabila', 'tida', 'dipergunakan', 'sebagai', 'usula', 'sebaiknya', 'pont', 'jangan', 'dihanguskan', 'karena', 'untuk', 'mengumpulkan', 'point', 'point', 'tersebut', 'sangatlah', 'sulit', 'dan', 'membutuhkan', 'kesabaran', 'sebaiknya', 'kalau', 'mau', 'diterapkan', 'ponit', 'yang', 'mau', 'hangus', 'digantikan', 'saja', 'ke', 'bentuk', 'hadiah', 'hadiah', 'misal', 'gantungan', 'kunci', 'dan', 'assesoris', 'lainnya', 'yang', 'bermanfaat', 'terima', 'kasih', 'sebelumnya']","['pelayanan', 'cepat', 'sayang', 'hasil', 'ponit', 'kumpulkan', 'hangus', 'tida', 'usula', 'pont', 'dihanguskan', 'mengumpulkan', 'point', 'point', 'sulit', 'membutuhkan', 'kesabaran', 'diterapkan', 'ponit', 'hangus', 'digantikan', 'bentuk', 'hadiah', 'hadiah', 'gantungan', 'kunci', 'assesoris', 'bermanfaat', 'terima', 'kasih']",layan cepat sayang hasil ponit kumpul hangus tida usula pont hangus kumpul point point sulit butuh sabar terap ponit hangus ganti bentuk hadiah hadiah gantung kunci assesoris manfaat terima kasih
"Di aplikasi harga 900an, pas di booking jadi 1,6jt Sangat tidak baik untuk kita yg agen",Di aplikasi harga an  pas di booking jadi  jt Sangat tidak baik untuk kita yg agen,di aplikasi harga an  pas di booking jadi  jt sangat tidak baik untuk kita yg agen,di aplikasi harga an pas di booking jadi juta sangat tidak baik untuk kita yang agen,"['di', 'aplikasi', 'harga', 'an', 'pas', 'di', 'booking', 'jadi', 'juta', 'sangat', 'tidak', 'baik', 'untuk', 'kita', 'yang', 'agen']","['aplikasi', 'harga', 'an', 'pas', 'booking', 'juta', 'agen']",aplikasi harga an pas booking juta agen
"ANEH SEKALI KEMARIN AKUN PAYLATER DI ACC TAPI TIBA"" WAKTU MAU DI PAKAI TIDAK BISA DAN LANGSUNG DI NONAKTIFKAN JADI BELUM PERNAH DI PAKAI SAMA SEKALI PERCUMA DAFTAR DIRI KTP JUGA BUAT APA GA BISA DI PAKAI SAMA SEKALI!! DAN SAYA SEKARANG MAU HAPUS AKUN DI TANGGAL 11 SEPTEMBER 2024. TOLONG DATA"" SAYA JUGA DI HAPUS!! JANGAN SAMPE DI SALAH GUNAKAN, DAN BUKAN SALAH SAYA BILA SAYA TIDAK BERTANGGUNG JAWAB APABILA DATA SAYA BOCOR DARI APLIKASI TRAVELOKA INI TERIMAKASIH.",ANEH SEKALI KEMARIN AKUN PAYLATER DI ACC TAPI TIBA  WAKTU MAU DI PAKAI TIDAK BISA DAN LANGSUNG DI NONAKTIFKAN JADI BELUM PERNAH DI PAKAI SAMA SEKALI PERCUMA DAFTAR DIRI KTP JUGA BUAT APA GA BISA DI PAKAI SAMA SEKALI   DAN SAYA SEKARANG MAU HAPUS AKUN DI TANGGAL  SEPTEMBER   TOLONG DATA  SAYA JUGA DI HAPUS   JANGAN SAMPE DI SALAH GUNAKAN  DAN BUKAN SALAH SAYA BILA SAYA TIDAK BERTANGGUNG JAWAB APABILA DATA SAYA BOCOR DARI APLIKASI TRAVELOKA INI TERIMAKASIH ,aneh sekali kemarin akun paylater di acc tapi tiba  waktu mau di pakai tidak bisa dan langsung di nonaktifkan jadi belum pernah di pakai sama sekali percuma daftar diri ktp juga buat apa ga bisa di pakai sama sekali   dan saya sekarang mau hapus akun di tanggal  september   tolong data  saya juga di hapus   jangan sampe di salah gunakan  dan bukan salah saya bila saya tidak bertanggung jawab apabila data saya bocor dari aplikasi traveloka ini terimakasih ,aneh sekali kemarin akun paylater di acc tapi tiba waktu mau di pakai tidak bisa dan langsung di nonaktifkan jadi belum pernah di pakai sama sekali percuma daftar diri ktp juga buat apa tidak bisa di pakai sama sekali dan saya sekarang mau hapus akun di tanggal september tolong data saya juga di hapus jangan sampai di salah gunakan dan bukan salah saya bila saya tidak bertanggung jawab apabila data saya bocor dari aplikasi traveloka ini terima kasih,"['aneh', 'sekali', 'kemarin', 'akun', 'paylater', 'di', 'acc', 'tapi', 'tiba', 'waktu', 'mau', 'di', 'pakai', 'tidak', 'bisa', 'dan', 'langsung', 'di', 'nonaktifkan', 'jadi', 'belum', 'pernah', 'di', 'pakai', 'sama', 'sekali', 'percuma', 'daftar', 'diri', 'ktp', 'juga', 'buat', 'apa', 'tidak', 'bisa', 'di', 'pakai', 'sama', 'sekali', 'dan', 'saya', 'sekarang', 'mau', 'hapus', 'akun', 'di', 'tanggal', 'september', 'tolong', 'data', 'saya', 'juga', 'di', 'hapus', 'jangan', 'sampai', 'di', 'salah', 'gunakan', 'dan', 'bukan', 'salah', 'saya', 'bila', 'saya', 'tidak', 'bertanggung', 'jawab', 'apabila', 'data', 'saya', 'bocor', 'dari', 'aplikasi', 'traveloka', 'ini', 'terima', 'kasih']","['aneh', 'kemarin', 'akun', 'paylater', 'acc', 'pakai', 'langsung', 'nonaktifkan', 'pakai', 'daftar', 'ktp', 'pakai', 'hapus', 'akun', 'tanggal', 'september', 'tolong', 'data', 'hapus', 'salah', 'salah', 'bertanggung', 'data', 'bocor', 'aplikasi', 'traveloka', 'terima', 'kasih']",aneh kemarin akun paylater acc pakai langsung nonaktif pakai daftar ktp pakai hapus akun tanggal september tolong data hapus salah salah tanggung data bocor aplikasi traveloka terima kasih
berkah dunia akherat,berkah dunia akherat,berkah dunia akherat,berkah dunia akhirat,"['berkah', 'dunia', 'akhirat']","['berkah', 'dunia', 'akhirat']",berkah dunia akhirat
"Mohon maaf, melihat dan membaca komen teman2 ko banyak yg kecewa. Pdhl saya ga ada masalah. Adapun proses hrs menunggu beberapa saat itu sih wajar2 saja.",Mohon maaf  melihat dan membaca komen teman ko banyak yg kecewa  Pdhl saya ga ada masalah  Adapun proses hrs menunggu beberapa saat itu sih wajar saja ,mohon maaf  melihat dan membaca komen teman ko banyak yg kecewa  pdhl saya ga ada masalah  adapun proses hrs menunggu beberapa saat itu sih wajar saja ,mohon maaf melihat dan membaca komen teman kok banyak yang kecewa padahal saya tidak ada masalah adapun proses harus menunggu beberapa saat itu sih wajar saja,"['mohon', 'maaf', 'melihat', 'dan', 'membaca', 'komen', 'teman', 'kok', 'banyak', 'yang', 'kecewa', 'padahal', 'saya', 'tidak', 'ada', 'masalah', 'adapun', 'proses', 'harus', 'menunggu', 'beberapa', 'saat', 'itu', 'sih', 'wajar', 'saja']","['mohon', 'maaf', 'membaca', 'komen', 'teman', 'kecewa', 'proses', 'menunggu', 'sih', 'wajar']",mohon maaf baca komen teman kecewa proses tunggu sih wajar
"Aplikasi dengan kenyataan dilapangan beda... Sudah pesan tiket via aplikasi tiba"" datang ke bandara sudah direscedulu oleh maskapai, tp di aplikasi jadwalnya masih tetap tidak ada perubahan... Mau minta keterangan keterlambatan untuk klaim asuransi tidak dikasih alasan jadwal pesawat yg baru sesuai jam... Lah... Percuma beli asuransi...",Aplikasi dengan kenyataan dilapangan beda    Sudah pesan tiket via aplikasi tiba  datang ke bandara sudah direscedulu oleh maskapai  tp di aplikasi jadwalnya masih tetap tidak ada perubahan    Mau minta keterangan keterlambatan untuk klaim asuransi tidak dikasih alasan jadwal pesawat yg baru sesuai jam    Lah    Percuma beli asuransi   ,aplikasi dengan kenyataan dilapangan beda    sudah pesan tiket via aplikasi tiba  datang ke bandara sudah direscedulu oleh maskapai  tp di aplikasi jadwalnya masih tetap tidak ada perubahan    mau minta keterangan keterlambatan untuk klaim asuransi tidak dikasih alasan jadwal pesawat yg baru sesuai jam    lah    percuma beli asuransi   ,aplikasi dengan kenyataan dilapangan beda sudah pesan tiket via aplikasi tiba datang ke bandara sudah direscedulu oleh maskapai tapi di aplikasi jadwalnya masih tetap tidak ada perubahan mau meminta keterangan keterlambatan untuk klaim asuransi tidak dikasih alasan jadwal pesawat yang baru sesuai jam lah percuma beli asuransi,"['aplikasi', 'dengan', 'kenyataan', 'dilapangan', 'beda', 'sudah', 'pesan', 'tiket', 'via', 'aplikasi', 'tiba', 'datang', 'ke', 'bandara', 'sudah', 'direscedulu', 'oleh', 'maskapai', 'tapi', 'di', 'aplikasi', 'jadwalnya', 'masih', 'tetap', 'tidak', 'ada', 'perubahan', 'mau', 'meminta', 'keterangan', 'keterlambatan', 'untuk', 'klaim', 'asuransi', 'tidak', 'dikasih', 'alasan', 'jadwal', 'pesawat', 'yang', 'baru', 'sesuai', 'jam', 'lah', 'percuma', 'beli', 'asuransi']","['aplikasi', 'kenyataan', 'dilapangan', 'beda', 'pesan', 'tiket', 'via', 'aplikasi', 'bandara', 'direscedulu', 'maskapai', 'aplikasi', 'jadwalnya', 'perubahan', 'keterangan', 'keterlambatan', 'klaim', 'asuransi', 'dikasih', 'alasan', 'jadwal', 'pesawat', 'sesuai', 'jam', 'beli', 'asuransi']",aplikasi nyata lapang beda pesan tiket via aplikasi bandara direscedulu maskapai aplikasi jadwal ubah terang lambat klaim asuransi kasih alas jadwal pesawat sesuai jam beli asuransi
Sangat membantu semoga slalu naik,Sangat membantu semoga slalu naik,sangat membantu semoga slalu naik,sangat membantu semoga selalu naik,"['sangat', 'membantu', 'semoga', 'selalu', 'naik']","['membantu', 'semoga']",bantu moga
"Sementara 1 dulu klo sudah baik fitur kameranya buat ambil foto dokumen kayak ktp disuruh ngepasin di kotak tapi selalu blur, jaringan stabil hp juga ga jelek jelek amat samsung note 10+. Nanti klo sudah bisa saya kasih 5 bintang",Sementara  dulu klo sudah baik fitur kameranya buat ambil foto dokumen kayak ktp disuruh ngepasin di kotak tapi selalu blur  jaringan stabil hp juga ga jelek jelek amat samsung note    Nanti klo sudah bisa saya kasih  bintang,sementara  dulu klo sudah baik fitur kameranya buat ambil foto dokumen kayak ktp disuruh ngepasin di kotak tapi selalu blur  jaringan stabil hp juga ga jelek jelek amat samsung note    nanti klo sudah bisa saya kasih  bintang,sementara dulu kalau sudah baik fitur kameranya buat ambil foto dokumen kayak ktp disuruh ngepasin di kotak tapi selalu blur jaringan stabil hp juga tidak jelek jelek amat samsung note nanti kalau sudah bisa saya kasih bintang,"['sementara', 'dulu', 'kalau', 'sudah', 'baik', 'fitur', 'kameranya', 'buat', 'ambil', 'foto', 'dokumen', 'kayak', 'ktp', 'disuruh', 'ngepasin', 'di', 'kotak', 'tapi', 'selalu', 'blur', 'jaringan', 'stabil', 'hp', 'juga', 'tidak', 'jelek', 'jelek', 'amat', 'samsung', 'note', 'nanti', 'kalau', 'sudah', 'bisa', 'saya', 'kasih', 'bintang']","['fitur', 'kameranya', 'ambil', 'foto', 'dokumen', 'kayak', 'ktp', 'disuruh', 'ngepasin', 'kotak', 'blur', 'jaringan', 'stabil', 'hp', 'jelek', 'jelek', 'samsung', 'note', 'kasih', 'bintang']",fitur kamera ambil foto dokumen kayak ktp suruh ngepasin kotak blur jaring stabil hp jelek jelek samsung note kasih bintang
Pesawatnya,Pesawatnya,pesawatnya,pesawatnya,['pesawatnya'],['pesawatnya'],pesawat
semoga mendapatkan perjalanan yg menyenangkan,semoga mendapatkan perjalanan yg menyenangkan,semoga mendapatkan perjalanan yg menyenangkan,semoga mendapatkan perjalanan yang menyenangkan,"['semoga', 'mendapatkan', 'perjalanan', 'yang', 'menyenangkan']","['semoga', 'perjalanan', 'menyenangkan']",moga jalan senang
sae sanget,sae sanget,sae sanget,sae sanget,"['sae', 'sanget']","['sae', 'sanget']",sae sanget
Saya baru pertama kali pesan tiket pesawat menuju Kalimantan...saya berapa menit terlambat untuk cek in ke petugas bendara Denpasar katanya sudah di close trus nggk ada toleransinya karna saya perjalanan jauh terus macet di jalan....dan saya gagal berangkat ke Kalimantan dan tiket saya hangus dan kata petugas bendara beli tiket baru lagi,Saya baru pertama kali pesan tiket pesawat menuju Kalimantan   saya berapa menit terlambat untuk cek in ke petugas bendara Denpasar katanya sudah di close trus nggk ada toleransinya karna saya perjalanan jauh terus macet di jalan    dan saya gagal berangkat ke Kalimantan dan tiket saya hangus dan kata petugas bendara beli tiket baru lagi,saya baru pertama kali pesan tiket pesawat menuju kalimantan   saya berapa menit terlambat untuk cek in ke petugas bendara denpasar katanya sudah di close trus nggk ada toleransinya karna saya perjalanan jauh terus macet di jalan    dan saya gagal berangkat ke kalimantan dan tiket saya hangus dan kata petugas bendara beli tiket baru lagi,saya baru pertama kali pesan tiket pesawat menuju kalimantan saya berapa menit terlambat untuk cek ini ke petugas bandara denpasar katanya sudah di close terus tidak ada toleransinya karena saya perjalanan jauh terus macet di jalan dan saya gagal berangkat ke kalimantan dan tiket saya hangus dan kata petugas bandara beli tiket baru lagi,"['saya', 'baru', 'pertama', 'kali', 'pesan', 'tiket', 'pesawat', 'menuju', 'kalimantan', 'saya', 'berapa', 'menit', 'terlambat', 'untuk', 'cek', 'ini', 'ke', 'petugas', 'bandara', 'denpasar', 'katanya', 'sudah', 'di', 'close', 'terus', 'tidak', 'ada', 'toleransinya', 'karena', 'saya', 'perjalanan', 'jauh', 'terus', 'macet', 'di', 'jalan', 'dan', 'saya', 'gagal', 'berangkat', 'ke', 'kalimantan', 'dan', 'tiket', 'saya', 'hangus', 'dan', 'kata', 'petugas', 'bandara', 'beli', 'tiket', 'baru', 'lagi']","['kali', 'pesan', 'tiket', 'pesawat', 'kalimantan', 'menit', 'terlambat', 'cek', 'petugas', 'bandara', 'denpasar', 'close', 'toleransinya', 'perjalanan', 'macet', 'jalan', 'gagal', 'berangkat', 'kalimantan', 'tiket', 'hangus', 'petugas', 'bandara', 'beli', 'tiket']",kali pesan tiket pesawat kalimantan menit lambat cek tugas bandara denpasar close toleransi jalan macet jalan gagal berangkat kalimantan tiket hangus tugas bandara beli tiket
"Beli ticket 1,6 jt tapi ternyata salah rute,pas mau refund cuma dibalikin 900 rbu...ini pemerasan namanya...namanya manusia pasti bisa salah milih rute,pas mau di rubah ke penerbangngan sebaliknya juga di suruh nambah 900 rbu.gila traveloka 👎",Beli ticket   jt tapi ternyata salah rute pas mau refund cuma dibalikin  rbu   ini pemerasan namanya   namanya manusia pasti bisa salah milih rute pas mau di rubah ke penerbangngan sebaliknya juga di suruh nambah  rbu gila traveloka ,beli ticket   jt tapi ternyata salah rute pas mau refund cuma dibalikin  rbu   ini pemerasan namanya   namanya manusia pasti bisa salah milih rute pas mau di rubah ke penerbangngan sebaliknya juga di suruh nambah  rbu gila traveloka ,beli ticket juta tapi ternyata salah rute pas mau refund cuma dibalikin ribu ini pemerasan namanya namanya manusia pasti bisa salah memilih rute pas mau di rubah ke penerbangngan sebaliknya juga di suruh menambah ribu gila traveloka,"['beli', 'ticket', 'juta', 'tapi', 'ternyata', 'salah', 'rute', 'pas', 'mau', 'refund', 'cuma', 'dibalikin', 'ribu', 'ini', 'pemerasan', 'namanya', 'namanya', 'manusia', 'pasti', 'bisa', 'salah', 'memilih', 'rute', 'pas', 'mau', 'di', 'rubah', 'ke', 'penerbangngan', 'sebaliknya', 'juga', 'di', 'suruh', 'menambah', 'ribu', 'gila', 'traveloka']","['beli', 'ticket', 'juta', 'salah', 'rute', 'pas', 'refund', 'dibalikin', 'ribu', 'pemerasan', 'namanya', 'namanya', 'manusia', 'salah', 'memilih', 'rute', 'pas', 'rubah', 'penerbangngan', 'suruh', 'menambah', 'ribu', 'gila', 'traveloka']",beli ticket juta salah rute pas refund dibalikin ribu peras nama nama manusia salah pilih rute pas rubah penerbangngan suruh tambah ribu gila traveloka
cepat dan tuntas keperluan transportasi saya,cepat dan tuntas keperluan transportasi saya,cepat dan tuntas keperluan transportasi saya,cepat dan tuntas keperluan transportasi saya,"['cepat', 'dan', 'tuntas', 'keperluan', 'transportasi', 'saya']","['cepat', 'tuntas', 'keperluan', 'transportasi']",cepat tuntas perlu transportasi
Cek data untuk pay laternya lama bener hampir 1 kalender,Cek data untuk pay laternya lama bener hampir  kalender,cek data untuk pay laternya lama bener hampir  kalender,cek data untuk pay laternya lama benar hampir kalender,"['cek', 'data', 'untuk', 'pay', 'laternya', 'lama', 'benar', 'hampir', 'kalender']","['cek', 'data', 'pay', 'laternya', 'kalender']",cek data pay laternya kalender
Selamat datang cinta,Selamat datang cinta,selamat datang cinta,selamat datang cinta,"['selamat', 'datang', 'cinta']","['selamat', 'cinta']",selamat cinta
aplikasi mantap sangat membantu,aplikasi mantap sangat membantu,aplikasi mantap sangat membantu,aplikasi mantap sangat membantu,"['aplikasi', 'mantap', 'sangat', 'membantu']","['aplikasi', 'mantap', 'membantu']",aplikasi mantap bantu
"Voucher pengguna baru tidak bisa digunakan, padahal baru juga download Traveloka dan udah BNR syarat ketentuannya tapi tetap aja tidak bisa diklaim voucher nya, tanya cs malah lama tanggapannya",Voucher pengguna baru tidak bisa digunakan  padahal baru juga download Traveloka dan udah BNR syarat ketentuannya tapi tetap aja tidak bisa diklaim voucher nya  tanya cs malah lama tanggapannya,voucher pengguna baru tidak bisa digunakan  padahal baru juga download traveloka dan udah bnr syarat ketentuannya tapi tetap aja tidak bisa diklaim voucher nya  tanya cs malah lama tanggapannya,voucher pengguna baru tidak bisa digunakan padahal baru juga download traveloka dan sudah benar syarat ketentuannya tapi tetap saja tidak bisa diklaim voucher nya tanya cs malah lama tanggapannya,"['voucher', 'pengguna', 'baru', 'tidak', 'bisa', 'digunakan', 'padahal', 'baru', 'juga', 'download', 'traveloka', 'dan', 'sudah', 'benar', 'syarat', 'ketentuannya', 'tapi', 'tetap', 'saja', 'tidak', 'bisa', 'diklaim', 'voucher', 'nya', 'tanya', 'cs', 'malah', 'lama', 'tanggapannya']","['voucher', 'pengguna', 'download', 'traveloka', 'syarat', 'ketentuannya', 'diklaim', 'voucher', 'nya', 'cs', 'tanggapannya']",voucher guna download traveloka syarat tentu klaim voucher nya cs tanggap
Kenapa kok aplikasi traveloka tidak bisa memuat halaman ya. Apa sdg dlm maintenance atau gimana. GK bisa nonton live streamingnya lagi,Kenapa kok aplikasi traveloka tidak bisa memuat halaman ya  Apa sdg dlm maintenance atau gimana  GK bisa nonton live streamingnya lagi,kenapa kok aplikasi traveloka tidak bisa memuat halaman ya  apa sdg dlm maintenance atau gimana  gk bisa nonton live streamingnya lagi,kenapa kok aplikasi traveloka tidak bisa memuat halaman ya apa sedang dalam maintenance atau bagaimana tidak bisa menonton live streamingnya lagi,"['kenapa', 'kok', 'aplikasi', 'traveloka', 'tidak', 'bisa', 'memuat', 'halaman', 'ya', 'apa', 'sedang', 'dalam', 'maintenance', 'atau', 'bagaimana', 'tidak', 'bisa', 'menonton', 'live', 'streamingnya', 'lagi']","['aplikasi', 'traveloka', 'memuat', 'halaman', 'ya', 'maintenance', 'menonton', 'live', 'streamingnya']",aplikasi traveloka muat halaman ya maintenance tonton live streamingnya
"Bad..saya pesan 2 kamar dengan sarapan, voucher yg terbit tanpa sarapan. Coba komplaim ke cs disuruh nunggu sejam. Udah satu jam komplain lagi disruh tunggu lg sampe pagi.. uninstal aja lah..tambah g jelas",Bad  saya pesan  kamar dengan sarapan  voucher yg terbit tanpa sarapan  Coba komplaim ke cs disuruh nunggu sejam  Udah satu jam komplain lagi disruh tunggu lg sampe pagi   uninstal aja lah  tambah g jelas,bad  saya pesan  kamar dengan sarapan  voucher yg terbit tanpa sarapan  coba komplaim ke cs disuruh nunggu sejam  udah satu jam komplain lagi disruh tunggu lg sampe pagi   uninstal aja lah  tambah g jelas,bad saya pesan kamar dengan sarapan voucher yang terbit tanpa sarapan coba komplaim ke cs disuruh menunggu sejam sudah satu jam komplain lagi disruh tunggu lagi sampai pagi uninstal saja lah tambah tidak jelas,"['bad', 'saya', 'pesan', 'kamar', 'dengan', 'sarapan', 'voucher', 'yang', 'terbit', 'tanpa', 'sarapan', 'coba', 'komplaim', 'ke', 'cs', 'disuruh', 'menunggu', 'sejam', 'sudah', 'satu', 'jam', 'komplain', 'lagi', 'disruh', 'tunggu', 'lagi', 'sampai', 'pagi', 'uninstal', 'saja', 'lah', 'tambah', 'tidak', 'jelas']","['bad', 'pesan', 'kamar', 'sarapan', 'voucher', 'terbit', 'sarapan', 'coba', 'komplaim', 'cs', 'disuruh', 'menunggu', 'sejam', 'jam', 'komplain', 'disruh', 'tunggu', 'pagi', 'uninstal']",bad pesan kamar sarap voucher terbit sarap coba komplaim cs suruh tunggu jam jam komplain disruh tunggu pagi uninstal
"GAK JELAS NI App, masa' dalam berapa jam harga kamar hotel bisa berubah 4x. Hedeeeh",GAK JELAS NI App  masa  dalam berapa jam harga kamar hotel bisa berubah x  Hedeeeh,gak jelas ni app  masa  dalam berapa jam harga kamar hotel bisa berubah x  hedeeeh,tidak jelas nih aplikasi masa dalam berapa jam harga kamar hotel bisa berubah kali hedeeeh,"['tidak', 'jelas', 'nih', 'aplikasi', 'masa', 'dalam', 'berapa', 'jam', 'harga', 'kamar', 'hotel', 'bisa', 'berubah', 'kali', 'hedeeeh']","['nih', 'aplikasi', 'jam', 'harga', 'kamar', 'hotel', 'berubah', 'kali', 'hedeeeh']",nih aplikasi jam harga kamar hotel ubah kali hedeeeh
